Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_029524465.1_ASM2952446v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.891	92026	302.05908203125	2079477	0.35	2048	41	239578	
GCA_029529565.1_ASM2952956v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.89	91887	303.3671875	2090726	0.35	2048	45	223115	
GCA_034416655.1_PDT001820576.1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.891	108776	298.5684964200477	2102308	0.35	2095	43	231766	
GCA_043128065.1_PDT002226527.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.894	139511	297.3704902867715	2153895	0.35	2162	35	236197	
GCA_044528205.1_PDT002219488.1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.891	127442	302.579001019368	1995939	0.35	1962	40	278488	
GCA_044797235.1_PDT002218137.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	383492	305.2573904179409	2012970	0.35	1962	27	625748	
GCA_044868725.1_PDT002213787.1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.892	83795	296.1340206185567	2121732	0.35	2134	50	196360	
GCA_044887825.1_PDT002212798.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.894	40011	300.3395278754395	2002159	0.35	1991	96	139946	
GCA_045265325.1_PDT002487612.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	123260	302.1159491193738	2072998	0.35	2044	40	283145	
GCA_045502695.1_PDT002494687.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	119299	300.9263055148853	2070948	0.35	2049	41	322003	
GCA_047379565.1_ASM4737956v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.892	91650	299.88055422838033	2106928	0.35	2093	26	557321	
GCA_047389585.1_ASM4738958v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.887	138530	300.9809479553903	2187107	0.35	2152	44	260368	
GCA_052787925.1_ASM5278792v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.898	11045	287.7965485921889	2113638	0.36	2202	333	58905	
GCA_900074315.1_VSA85_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.891	37604	293.8768356229275	2083729	0.35	2111	154	108905	
GCA_920938575.1_GCA_PHEGBS0367_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.893	155385	301.2492477432297	2015808	0.35	1994	22	545026	
GCA_920938725.1_GCA_PHEGBS0547_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.891	124094	300.23476523476523	2019319	0.35	2002	17	712625	
GCF_005233935.1_ASM523393v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.889	149658	296.9879980796928	2085005	0.35	2083	55	320934	
GCF_006543125.1_ASM654312v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.894	99966	305.40686784599376	1967815	0.35	1922	40	279869	
GCF_028327145.1_ASM2832714v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.883	52381	299.674030436917	2069175	0.36	2037	97	116788	
GCF_042686845.1_ASM4268684v1_genomic	99.99	0.09	Neural Network (Specific Model)	11	0.892	165096	298.8952802359882	2041625	0.35	2034	49	475412	
GCF_042687155.1_ASM4268715v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.887	218982	284.79926504363806	2092918	0.35	2177	193	427115	
GCF_053009465.1_ASM5300946v1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.893	115812	300.7122641509434	2137586	0.35	2120	36	534319	
GCF_053009765.1_ASM5300976v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.893	221457	306.3890608875129	1991685	0.35	1938	20	654632	
GCF_900073945.1_VSA113_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.891	42230	294.0260416666667	2085810	0.35	2112	144	108905	
GCA_001349015.1_6630_5_11_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	213044	303.99203187251	2054892	0.35	2008	20	368067	
GCA_003859725.1_ASM385972v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.89	236540	300.0501265822785	1994667	0.35	1975	35	512816	
GCA_029527625.1_ASM2952762v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.891	89582	301.7424467558197	2048634	0.35	2019	45	223179	
GCA_029528705.1_ASM2952870v1_genomic	99.99	0.08	Neural Network (Specific Model)	11	0.893	132740	299.730166503428	2052030	0.35	2042	30	267195	
GCA_034516885.1_PDT001800175.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	125982	295.5752952755906	2017667	0.35	2032	35	260413	
GCA_034626025.1_PDT001794234.1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.893	102370	297.88354806739346	2014861	0.35	2018	39	306130	
GCA_042687425.1_ASM4268742v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.889	218945	296.0779794016675	2033041	0.35	2039	91	443034	
GCA_043100505.1_PDT002221044.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	163849	302.4613851519681	2042026	0.35	2007	26	463574	
GCA_043870915.1_PDT002395790.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	104048	301.7438966012446	2114050	0.35	2089	40	336719	
