Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_000322565.1_ASM32256v1_genomic	100.0	0.23	Neural Network (Specific Model)	11	0.886	31579	284.3526405451448	2255888	0.36	2348	106	78906	None
GCA_000831125.1_ASM83112v1_genomic	100.0	0.14	Neural Network (Specific Model)	11	0.88	2214297	304.42683496961195	2214297	0.36	2139	1	2214297	None
GCA_001016125.1_ASM101612v1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.883	126598	293.64567307692306	2071172	0.35	2080	32	260823	None
GCA_001018055.1_ASM101805v1_genomic	100.0	0.4	Neural Network (Specific Model)	11	0.891	37200	286.01171243941843	2378616	0.36	2476	105	127734	None
GCA_001398715.1_Mother7_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.891	91322	298.904990403071	2094992	0.35	2084	70	345163	None
GCA_001546695.1_ASM154669v1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.888	101041	294.21340629274965	2175269	0.35	2193	52	196283	None
GCA_002881295.1_ASM288129v1_genomic	99.97	0.18	Neural Network (Specific Model)	11	0.872	1841859	285.04142326075413	1841859	0.35	1883	1	1841859	None
GCA_008711015.1_ASM871101v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.892	72334	305.9051516610496	2133969	0.35	2077	61	154084	None
GCA_020982325.1_ASM2098232v1_genomic	100.0	0.59	Neural Network (Specific Model)	11	0.901	5520	279.9948308270677	1979119	0.36	2128	611	26169	None
GCA_020983675.1_ASM2098367v1_genomic	99.99	1.03	Neural Network (Specific Model)	11	0.907	4017	264.9548595117457	1899729	0.36	2171	814	41459	None
GCA_020984645.1_ASM2098464v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.891	138000	300.2775903614458	2095479	0.35	2075	52	396354	None
GCA_027862685.1_ASM2786268v1_genomic	100.0	0.21	Neural Network (Specific Model)	11	0.889	62994	293.12803062526586	2322315	0.36	2351	76	142774	None
GCA_029524465.1_ASM2952446v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.891	92026	302.05908203125	2079477	0.35	2048	41	239578	None
GCA_029529565.1_ASM2952956v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.89	91887	303.3671875	2090726	0.35	2048	45	223115	None
GCA_034336005.1_PDT001905592.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.892	104800	300.06222654350995	2072124	0.35	2057	46	286984	None
GCA_034337625.1_PDT001879481.1_genomic	100.0	5.23	Neural Network (Specific Model)	11	0.891	233006	301.49460784313726	2067458	0.35	2040	26	428155	None
GCA_034344365.1_PDT001879044.1_genomic	100.0	0.6	Neural Network (Specific Model)	11	0.892	81127	302.26062052505966	2126863	0.36	2095	55	222936	None
GCA_034345325.1_PDT001878998.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.892	169300	301.3599615014437	2103096	0.35	2078	22	455581	None
GCA_034346565.1_PDT001878939.1_genomic	100.0	0.54	Neural Network (Specific Model)	11	0.892	78289	303.8461176470588	2168533	0.35	2125	59	153823	None
GCA_034346985.1_PDT001878918.1_genomic	100.0	0.18	Neural Network (Specific Model)	11	0.892	91861	300.04638218923935	2171166	0.35	2156	45	243716	None
GCA_034348065.1_PDT001878867.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.892	147492	301.5031722791606	2074982	0.35	2049	32	326043	None
GCA_034349165.1_PDT001878820.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.893	177532	303.02303262955854	2118857	0.35	2084	28	344079	None
GCA_034349345.1_PDT001878811.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.892	181652	303.45024154589373	2108412	0.35	2070	26	325976	None
GCA_034349825.1_PDT001878791.1_genomic	100.0	0.38	Neural Network (Specific Model)	11	0.894	119193	307.3707136237257	2222754	0.35	2158	32	274835	None
GCA_034353465.1_PDT001878618.1_genomic	100.0	0.38	Neural Network (Specific Model)	11	0.891	105612	301.4496350364964	2082184	0.35	2055	32	215883	None
GCA_034378885.1_PDT001861413.1_genomic	100.0	1.9	Neural Network (Specific Model)	11	0.89	173436	299.22115823073415	2208320	0.35	2193	30	376106	None
GCA_034379775.1_PDT001861367.1_genomic	100.0	1.55	Neural Network (Specific Model)	11	0.891	78974	294.51877607788595	2135679	0.35	2157	58	196263	None
GCA_034381195.1_PDT001861297.1_genomic	100.0	1.89	Neural Network (Specific Model)	11	0.891	80058	297.62327506899726	2174946	0.36	2174	57	196262	None
GCA_034384755.1_PDT001859638.1_genomic	100.0	0.34	Neural Network (Specific Model)	11	0.891	483164	303.23538156590683	2057605	0.35	2018	19	577600	None
GCA_034416655.1_PDT001820576.1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.891	108776	298.5684964200477	2102308	0.35	2095	43	231766	None
GCA_034417465.1_PDT001820561.1_genomic	100.0	0.3	Neural Network (Specific Model)	11	0.891	174122	297.6892218463026	2070302	0.35	2069	22	340932	None
GCA_034445525.1_PDT001816040.1_genomic	100.0	3.01	Neural Network (Specific Model)	11	0.89	124362	295.6275992438563	2105261	0.35	2116	38	260883	None
GCA_034446045.1_PDT001816063.1_genomic	100.0	5.49	Neural Network (Specific Model)	11	0.89	124553	297.87104283054003	2152342	0.36	2148	37	240305	None
GCA_034449185.1_PDT001812675.1_genomic	100.0	13.82	Neural Network (Specific Model)	11	0.892	189639	304.3260963960052	2354100	0.35	2303	26	359940	None
